id	is_active	created_at	updated_at	city	state	zone
418	1	NULL	NULL	DEWAS	Madhya Pradesh	WEST
419	1	NULL	NULL	BHOPAL	Madhya Pradesh	WEST
420	1	NULL	NULL	INDORE	Madhya Pradesh	WEST
421	1	NULL	NULL	AHMEDABAD	Gujarat	WEST
422	1	NULL	NULL	RAJKOT	Gujarat	WEST
423	1	NULL	NULL	BARODA	GUJARAT	WEST
424	1	NULL	NULL	BHUBANESWAR	Orissa	EAST
425	1	NULL	NULL	GURGAON	Haryana	NORTH
426	1	NULL	NULL	GHAZIABAD	Uttar Pradesh	NORTH
427	1	NULL	NULL	DELHI	DELHI	NORTH
428	1	NULL	NULL	KANPUR	Uttar Pradesh	NORTH
429	1	NULL	NULL	LUCKNOW	Uttar Pradesh	NORTH
430	1	NULL	NULL	FARIDABAD	Haryana	NORTH
431	1	NULL	NULL	AJMER	Rajasthan	NORTH
432	1	NULL	NULL	JAIPUR	Rajasthan	NORTH
433	1	NULL	NULL	JODHPUR	Gujarat	West
434	1	NULL	NULL	UDAIPUR	RAJASTHAN	NORTH
435	1	NULL	NULL	LUDHIANA	Punjab	North
436	1	NULL	NULL	PATIALA	Punjab	North
437	1	NULL	NULL	HARIDWAR	Uttaranchal	NORTH
438	1	NULL	NULL	RISHIKESH	Uttaranchal	NORTH
439	1	NULL	NULL	DEHRADUN	Uttaranchal	NORTH
440	1	NULL	NULL	PEENYA	Karnataka	SOUTH
441	1	NULL	NULL	VIJAY NAGAR	KARNATAKA	SOUTH
442	1	NULL	NULL	KORAMANGALA	KARNATAKA	SOUTH
443	1	NULL	NULL	AMBATTUR	Tamil Nadu	SOUTH
444	1	NULL	NULL	POONAMALLEE	Tamil Nadu	SOUTH
445	1	NULL	NULL	VELLORE	Tamil Nadu	SOUTH
446	1	NULL	NULL	MUMBAI	Maharashtra	West
447	1	NULL	NULL	NASHIK	Maharashtra	WEST
448	1	NULL	NULL	Nasik	MAHARASHTRA	WEST
449	1	NULL	NULL	COCHIN	COCHIN	SOUTH
450	1	NULL	NULL	BANAGALORE	KARNATAKA	SOUTH
451	1	NULL	NULL	VISAKHAPATNAM	Andhra Pradesh	SOUTH
452	1	NULL	NULL	VIJAYWADA	ANDHRA PRADESH	SOUTH
453	1	NULL	NULL	Gujarat	Surat	West
454	1	NULL	NULL	Karnataka	Bangalore	SOUTH
455	1	NULL	NULL	Uttarakhand	Dehradun	North
456	1	NULL	NULL	Maharashtra	Pune	West
457	1	NULL	NULL	Surat	Gujarat	west
458	1	NULL	NULL	Madhya Pradesh	Bhopal	West
459	1	NULL	NULL	Raipur	Uttaranchal	west
460	1	NULL	NULL	Madhya Pradesh	Indore	West
